date,region,date_analysis,confirm,temperature,humidity,wind_speed,StringencyIndex_WeightedAverage,GovernmentResponseIndex_WeightedAverage,ContainmentHealthIndex_WeightedAverage,EconomicSupportIndex
2020/2/16,HK,NA,1,14.2,82,38,52.78,41.67,47.62,0
2020/2/17,HK,NA,3,13.6,53,34.2,52.78,41.67,47.62,0
2020/2/18,HK,NA,1,14.7,57,27.9,52.78,41.67,47.62,0
2020/2/19,HK,NA,3,16.3,69,29.4,52.78,43.75,50,0
2020/2/20,HK,NA,4,17.7,70,30.1,52.78,43.75,50,0
2020/2/21,HK,NA,0,18.9,73,32.6,52.78,43.75,50,0
2020/2/22,HK,NA,1,20.1,73,16.7,52.78,43.75,50,0
2020/2/23,HK,NA,4,19.4,71,35.7,52.78,43.75,50,0
2020/2/24,HK,NA,2,19.6,76,28.1,52.78,43.75,50,0
2020/2/25,HK,NA,4,21.8,84,15.5,52.78,43.75,50,0
2020/2/26,HK,NA,4,23.3,82,9.4,52.78,56.25,50,100
2020/2/27,HK,NA,2,20.5,84,34.1,52.78,56.25,50,100
2020/2/28,HK,NA,0,20.8,78,23.5,52.78,56.25,50,100
2020/2/29,HK,NA,1,22.5,80,8.5,52.78,56.25,50,100
2020/3/1,HK,NA,3,22.8,82,7.1,52.78,56.25,50,100
2020/3/2,HK,NA,1,20.1,84,36.6,49.07,54.17,47.62,100
2020/3/3,HK,NA,0,19.4,81,30.8,49.07,54.17,47.62,100
2020/3/4,HK,NA,3,19.9,84,23.5,49.07,54.17,47.62,100
2020/3/5,HK,NA,0,18.2,85,36.2,49.07,54.17,47.62,100
2020/3/6,HK,NA,1,18.3,80,33.5,49.07,54.17,47.62,100
2020/3/7,HK,NA,0,20.6,88,13.4,49.07,54.17,47.62,100
2020/3/8,HK,NA,3,22.1,92,15.5,49.07,54.17,47.62,100
2020/3/9,HK,NA,1,23.4,89,10.1,49.07,54.17,47.62,100
2020/3/10,HK,NA,0,23.4,67,28.6,49.07,54.17,47.62,100
2020/3/11,HK,NA,1,19.2,72,37.3,49.07,54.17,47.62,100
2020/3/12,HK,NA,0,19.2,89,23.4,49.07,54.17,47.62,100
