"modelname","period","type","rmse","mape","auc"
"ARIMA","test","nowcast",0.05,0.04,0.89
"gam","test","nowcast",0.1,0.06,0.87
"gbm","test","nowcast",0.1,0.08,0.77
"gpr","test","nowcast",0.1,0.07,0.87
"nn","test","nowcast",0.07,0.05,0.85
"rf","test","nowcast",0.08,0.06,0.85
"ridge","test","nowcast",0.06,0.04,0.88
"svr_L","test","nowcast",0.06,0.04,0.88
"ARIMA","train","nowcast",0.12,0.13,0.95
"gam","train","nowcast",0.17,0.2,0.94
"gbm","train","nowcast",0.15,0.15,0.89
"gpr","train","nowcast",0.24,0.25,0.79
"nn","train","nowcast",0.17,0.12,0.96
"rf","train","nowcast",0.17,0.16,0.89
"ridge","train","nowcast",0.13,0.16,0.98
"svr_L","train","nowcast",0.17,0.19,0.97
"ARIMA","valid","nowcast",0.19,0.2,0.63
"gam","valid","nowcast",0.29,0.29,0.47
"gbm","valid","nowcast",0.22,0.24,0.64
"gpr","valid","nowcast",0.2,0.23,0.5
"nn","valid","nowcast",0.21,0.24,0.54
"rf","valid","nowcast",0.22,0.25,0.55
"ridge","valid","nowcast",0.35,0.33,0.48
"svr_L","valid","nowcast",0.25,0.27,0.63
"ARIMA","test","forecast",0.07,0.06,0.78
"gam","test","forecast",0.14,0.09,0.78
"gbm","test","forecast",0.13,0.11,0.6
"gpr","test","forecast",0.11,0.09,0.76
"nn","test","forecast",0.1,0.08,0.73
"rf","test","forecast",0.11,0.09,0.73
"ridge","test","forecast",0.08,0.06,0.77
"svr_L","test","forecast",0.08,0.07,0.77
"ARIMA","train","forecast",0.14,0.15,0.91
"gam","train","forecast",0.14,0.15,0.92
"gbm","train","forecast",0.15,0.15,0.88
"gpr","train","forecast",0.19,0.23,0.8
"nn","train","forecast",0.22,0.16,0.92
"rf","train","forecast",0.2,0.19,0.86
"ridge","train","forecast",0.15,0.18,0.89
"svr_L","train","forecast",0.15,0.15,0.9
"ARIMA","valid","forecast",0.27,0.3,0.43
"gam","valid","forecast",0.34,0.36,0.42
"gbm","valid","forecast",0.26,0.29,0.44
"gpr","valid","forecast",0.21,0.25,0.5
"nn","valid","forecast",0.23,0.26,0.46
"rf","valid","forecast",0.24,0.27,0.43
"ridge","valid","forecast",0.35,0.37,0.49
"svr_L","valid","forecast",0.27,0.3,0.45
"ARIMA","valid","Overall",0.21,0.24,0.56
"gam","valid","Overall",0.31,0.32,0.45
"gbm","valid","Overall",0.23,0.26,0.57
"gpr","valid","Overall",0.2,0.23,0.5
"nn","valid","Overall",0.21,0.25,0.51
"rf","valid","Overall",0.22,0.25,0.51
"ridge","valid","Overall",0.35,0.34,0.48
"svr_L","valid","Overall",0.26,0.28,0.57
"ARIMA","train","Overall",0.13,0.15,0.91
"gam","train","Overall",0.14,0.16,0.92
"gbm","train","Overall",0.15,0.15,0.88
"gpr","train","Overall",0.2,0.23,0.8
"nn","train","Overall",0.21,0.16,0.93
"rf","train","Overall",0.2,0.18,0.86
"ridge","train","Overall",0.15,0.18,0.9
"svr_L","train","Overall",0.15,0.16,0.91
"ARIMA","test","Overall",0.06,0.05,0.85
"gam","test","Overall",0.11,0.07,0.84
"gbm","test","Overall",0.11,0.09,0.71
"gpr","test","Overall",0.1,0.07,0.83
"nn","test","Overall",0.08,0.06,0.81
"rf","test","Overall",0.09,0.07,0.81
"ridge","test","Overall",0.07,0.05,0.85
"svr_L","test","Overall",0.07,0.05,0.84
