"modelname","type","rmse_train","mape_train","auc_train","rmse_test","mape_test","auc_test","rmse_valid","mape_valid","auc_valid"
"ARIMA","nowcast",0.12,0.13,0.95,0.05,0.04,0.89,0.19,0.2,0.63
"gam","nowcast",0.17,0.2,0.94,0.1,0.06,0.87,0.29,0.29,0.47
"gbm","nowcast",0.15,0.15,0.89,0.1,0.08,0.77,0.22,0.24,0.64
"gpr","nowcast",0.24,0.25,0.79,0.1,0.07,0.87,0.2,0.23,0.5
"nn","nowcast",0.17,0.12,0.96,0.07,0.05,0.85,0.21,0.24,0.54
"rf","nowcast",0.17,0.16,0.89,0.08,0.06,0.85,0.22,0.25,0.55
"ridge","nowcast",0.13,0.16,0.98,0.06,0.04,0.88,0.35,0.33,0.48
"svr_L","nowcast",0.17,0.19,0.97,0.06,0.04,0.88,0.25,0.27,0.63
"ARIMA","forecast",0.14,0.15,0.91,0.07,0.06,0.78,0.27,0.3,0.43
"gam","forecast",0.14,0.15,0.92,0.14,0.09,0.78,0.34,0.36,0.42
"gbm","forecast",0.15,0.15,0.88,0.13,0.11,0.6,0.26,0.29,0.44
"gpr","forecast",0.19,0.23,0.8,0.11,0.09,0.76,0.21,0.25,0.5
"nn","forecast",0.22,0.16,0.92,0.1,0.08,0.73,0.23,0.26,0.46
"rf","forecast",0.2,0.19,0.86,0.11,0.09,0.73,0.24,0.27,0.43
"ridge","forecast",0.15,0.18,0.89,0.08,0.06,0.77,0.35,0.37,0.49
"svr_L","forecast",0.15,0.15,0.9,0.08,0.07,0.77,0.27,0.3,0.45
"ARIMA","Overall",0.13,0.15,0.91,0.06,0.05,0.85,0.21,0.24,0.56
"gam","Overall",0.14,0.16,0.92,0.11,0.07,0.84,0.31,0.32,0.45
"gbm","Overall",0.15,0.15,0.88,0.11,0.09,0.71,0.23,0.26,0.57
"gpr","Overall",0.2,0.23,0.8,0.1,0.07,0.83,0.2,0.23,0.5
"nn","Overall",0.21,0.16,0.93,0.08,0.06,0.81,0.21,0.25,0.51
"rf","Overall",0.2,0.18,0.86,0.09,0.07,0.81,0.22,0.25,0.51
"ridge","Overall",0.15,0.18,0.9,0.07,0.05,0.85,0.35,0.34,0.48
"svr_L","Overall",0.15,0.16,0.91,0.07,0.05,0.84,0.26,0.28,0.57
